   1.092223518300000E+01   7.490649198200000E-01   3.771421853500000E-01   4.278008941300000E-01   4.856422769100000E-01   3.000000000000000E+00
   1.092213884200000E+01   7.490636606700000E-01   3.771422489400000E-01   4.277984740700000E-01   4.856424172000000E-01   2.999957711100000E+00
   1.092204249700000E+01   7.490624014700000E-01   3.771423125400000E-01   4.277960539200000E-01   4.856425574900000E-01   2.999915421600000E+00
   1.092184980600000E+01   7.490598830600000E-01   3.771424397200000E-01   4.277912135700000E-01   4.856428380700000E-01   2.999830845700000E+00
   1.092146440200000E+01   7.490548460400001E-01   3.771426941300000E-01   4.277815323300000E-01   4.856433992400000E-01   2.999661697700000E+00
   1.092069351500000E+01   7.490447714200000E-01   3.771432033000000E-01   4.277621679200000E-01   4.856445217400000E-01   2.999323418000000E+00
   1.091953698300000E+01   7.490296579500000E-01   3.771439678200000E-01   4.277331163500000E-01   4.856462058000000E-01   2.998816039600000E+00
   1.091780174000000E+01   7.490069842000000E-01   3.771451161700000E-01   4.276895279200000E-01   4.856487325600000E-01   2.998055067700000E+00
   1.091519786000000E+01   7.489729656500000E-01   3.771468424400000E-01   4.276241202200000E-01   4.856525242600000E-01   2.996913819300000E+00
   1.091128976200000E+01   7.489219200200000E-01   3.771494402100000E-01   4.275259523600000E-01   4.856582153100000E-01   2.995202419700000E+00
   1.090646117600000E+01   7.488588711600001E-01   3.771526611200000E-01   4.274046641300000E-01   4.856652470600000E-01   2.993090360400000E+00
   1.090162841200000E+01   7.487957896500000E-01   3.771558973600000E-01   4.272832726000000E-01   4.856722852200000E-01   2.990979155700000E+00
   1.089679146300000E+01   7.487326753700000E-01   3.771591489000000E-01   4.271617775500000E-01   4.856793297700000E-01   2.988868800200000E+00
   1.089195032200000E+01   7.486695282500000E-01   3.771624157200000E-01   4.270401787900000E-01   4.856863806900000E-01   2.986759288800000E+00
   1.088710498100000E+01   7.486063482300001E-01   3.771656978600000E-01   4.269184761100000E-01   4.856934380000000E-01   2.984650614600000E+00
   1.088225543500000E+01   7.485431352600000E-01   3.771689953200000E-01   4.267966693500000E-01   4.857005016900000E-01   2.982542772700000E+00
   1.087740167800000E+01   7.484798893100000E-01   3.771723081200000E-01   4.266747583700000E-01   4.857075717600000E-01   2.980435758000000E+00
   1.087254369800000E+01   7.484166102299999E-01   3.771756362400000E-01   4.265527428200000E-01   4.857146482000000E-01   2.978329562700000E+00
   1.086768149300000E+01   7.483532980399999E-01   3.771789797300000E-01   4.264306226700000E-01   4.857217310200000E-01   2.976224183300000E+00
   1.086281505400000E+01   7.482899526200000E-01   3.771823385400000E-01   4.263083976400000E-01   4.857288202000000E-01   2.974119613400000E+00
   1.085794437300000E+01   7.482265739300000E-01   3.771857127500000E-01   4.261860675400000E-01   4.857359157600000E-01   2.972015846400000E+00
   1.085306944300000E+01   7.481631619000000E-01   3.771891023200000E-01   4.260636321900000E-01   4.857430176900000E-01   2.969912877400000E+00
   1.084819025700000E+01   7.480997164800000E-01   3.771925072900000E-01   4.259410914000000E-01   4.857501259900000E-01   2.967810700600000E+00
