   4.062801798700000E-01   9.097714458200000E-01   1.507257902200000E-01   1.235669761100000E-01   8.886489870600000E-01  -1.907659042100000E-27   2.165447348800000E-27   2.000000000000000E-01
   4.062801590500000E-01   9.097732803100000E-01   1.507258405500000E-01   1.235670496100000E-01   8.886508464000000E-01   2.396310769700000E-24   6.670855975300000E-24   1.999995933200000E-01
   4.062802014900000E-01   9.097750712300000E-01   1.507258896900000E-01   1.235671213800000E-01   8.886526615800000E-01  -1.120089278900000E-25  -3.929441347900000E-25   1.999992374100000E-01
   4.062802863300000E-01   9.097786526000000E-01   1.507259879400000E-01   1.235672648800000E-01   8.886562914500000E-01  -4.005934227000000E-27   3.528047094300000E-28   1.999985256500000E-01
   4.062804559500000E-01   9.097858152400000E-01   1.507261844600000E-01   1.235675518900000E-01   8.886635510999999E-01  -1.095097138100000E-26  -1.459837644000000E-27   1.999971021300000E-01
   4.062807952900000E-01   9.098001407000000E-01   1.507265774900000E-01   1.235681259100000E-01   8.886780705700000E-01   1.008348454800000E-27   2.722662032700000E-26   1.999942552000000E-01
   4.062814737800000E-01   9.098287910800000E-01   1.507273635400000E-01   1.235692739500000E-01   8.887071089500000E-01  -4.292767149900000E-26   7.167483919700000E-26   1.999885616700000E-01
   4.062828305300000E-01   9.098860907300000E-01   1.507289356500000E-01   1.235715700500000E-01   8.887651844800000E-01  -5.325152898400000E-26   5.717370036900000E-26   1.999771759800000E-01
   4.062855428300000E-01   9.100006852400000E-01   1.507320798600000E-01   1.235761623000000E-01   8.888813303000000E-01  -1.772968205200000E-25   4.417617289900000E-25   1.999544099900000E-01
   4.062909626000000E-01   9.102298547600000E-01   1.507383682800000E-01   1.235853469700000E-01   8.891136006400000E-01  -4.253874036000000E-25  -4.434234388700000E-25   1.999088997300000E-01
   4.063017830700000E-01   9.106881162300000E-01   1.507509450700000E-01   1.236037171000000E-01   8.895780565600000E-01   2.387153880500000E-24  -2.213793774600000E-24   1.998179659400000E-01
   4.063233474200000E-01   9.116043275400000E-01   1.507760984300000E-01   1.236404604500000E-01   8.905066280900000E-01   1.394791548400000E-24  -5.754534446100000E-24   1.996364446900000E-01
   4.063661702500000E-01   9.134354979400000E-01   1.508264044800000E-01   1.237139596500000E-01   8.923624044100000E-01  -2.705971271800000E-23   9.304310261700000E-23   1.992747835000000E-01
   4.064505925200000E-01   9.170927774099999E-01   1.509270145300000E-01   1.238610089600000E-01   8.960684399800000E-01  -1.898478396600000E-22   7.888013993000000E-23   1.985569534600000E-01
   4.066145500200000E-01   9.243866845900000E-01   1.511282322900000E-01   1.241553190900000E-01   9.034580548100000E-01  -5.154240935500000E-22   8.975871618100000E-22   1.971430023400000E-01
   4.068058546900000E-01   9.332508021900000E-01   1.513738403500000E-01   1.245149427800000E-01   9.124357781600000E-01   1.628242797600000E-21   2.029194873700000E-22   1.954557258600000E-01
   4.069874417800000E-01   9.420684476200000E-01   1.516194101200000E-01   1.248749320800000E-01   9.213635361800000E-01   3.837778996600000E-22   2.049350654700000E-21   1.938103402900000E-01
   4.071593401700000E-01   9.508370804700000E-01   1.518649383400000E-01   1.252352789400000E-01   9.302388505200000E-01  -4.371705246400000E-22  -5.421580597900000E-21   1.922059982200000E-01
   4.073216086600000E-01   9.595544728299999E-01   1.521104287400000E-01   1.255959855400000E-01   9.390595573300000E-01   1.282979892900000E-21  -1.034050588500000E-21   1.906418363100000E-01
   4.074742756200000E-01   9.682184108400000E-01   1.523558837300000E-01   1.259570521200000E-01   9.478235050900000E-01   8.855479423300001E-22  -3.465236817000000E-23   1.891170016700000E-01
