  -1.030209901600000E+01   3.619445771700000E+01  -3.494333220900000E+01   1.369823559800000E-02   2.700000000000000E+01
  -1.030215121600000E+01   3.619441622600000E+01  -3.494336722300000E+01   1.369811179200000E-02   2.699992599200000E+01
  -1.030225561700000E+01   3.619433324500000E+01  -3.494343725000000E+01   1.369786418300000E-02   2.699977797500000E+01
  -1.030246441700000E+01   3.619416728400000E+01  -3.494357486800000E+01   1.369736284300000E-02   2.699948194100000E+01
  -1.030288200700000E+01   3.619383536500000E+01  -3.494385510100000E+01   1.369637384700000E-02   2.699888986300000E+01
  -1.030371715200000E+01   3.619317154400000E+01  -3.494441555500000E+01   1.369439598700000E-02   2.699770567600000E+01
  -1.030538729800000E+01   3.619184396400000E+01  -3.494554051500000E+01   1.369044656000000E-02   2.699533717600000E+01
  -1.030872701300000E+01   3.618918905600000E+01  -3.494778369400000E+01   1.368253687100000E-02   2.699059967400000E+01
  -1.031373514500000E+01   3.618520732400000E+01  -3.495114235700000E+01   1.367067761600000E-02   2.698349216100000E+01
  -1.031895011200000E+01   3.618106049200000E+01  -3.495463967200000E+01   1.365833058500000E-02   2.697608689700000E+01
  -1.032416320200000E+01   3.617691448300000E+01  -3.495813970900000E+01   1.364599321200000E-02   2.696867999800000E+01
  -1.032937441600000E+01   3.617276929900000E+01  -3.496163837200000E+01   1.363366277200000E-02   2.696127146300000E+01
  -1.033458375400000E+01   3.616862494200000E+01  -3.496513043100000E+01   1.362134423600000E-02   2.695386129500000E+01
  -1.033979121400000E+01   3.616448141200000E+01  -3.496862352200000E+01   1.360903038400000E-02   2.694644949500000E+01
  -1.034499679700000E+01   3.616033871200000E+01  -3.497211604700000E+01   1.359672352600000E-02   2.693903606500000E+01
  -1.035020050200000E+01   3.615619684400000E+01  -3.497560913100000E+01   1.358443720200000E-02   2.693162100400000E+01
  -1.035540233000000E+01   3.615205580800000E+01  -3.497910114000000E+01   1.357216202600000E-02   2.692420431500000E+01
  -1.036060227900000E+01   3.614791560800000E+01  -3.498258855600000E+01   1.355989361200000E-02   2.691678599800000E+01
  -1.036580035000000E+01   3.614377624400000E+01  -3.498607548300000E+01   1.354762765200000E-02   2.690936605600000E+01
  -1.037099654300000E+01   3.613963771900000E+01  -3.498956363400000E+01   1.353536892300000E-02   2.690194448900000E+01
  -1.037619085600000E+01   3.613550003500000E+01  -3.499304577500000E+01   1.352311715400000E-02   2.689452129800000E+01
  -1.038138329000000E+01   3.613136319400000E+01  -3.499652877700000E+01   1.351090187000000E-02   2.688709648400000E+01
  -1.038657384400000E+01   3.612722719700000E+01  -3.500001253000000E+01   1.349867618300000E-02   2.687967005000000E+01
  -1.039176251800000E+01   3.612309204700000E+01  -3.500349040800000E+01   1.348645732400000E-02   2.687224199500000E+01
  -1.039694931300000E+01   3.611895774700000E+01  -3.500696908100000E+01   1.347424392000000E-02   2.686481232100000E+01
  -1.040213422600000E+01   3.611482429800000E+01  -3.501044516500000E+01   1.346204393100000E-02   2.685738103000000E+01
  -1.040731725900000E+01   3.611069170300000E+01  -3.501392071400000E+01   1.344986430100000E-02   2.684994812200000E+01
  -1.041249841200000E+01   3.610655996400000E+01  -3.501739912700000E+01   1.343767332200000E-02   2.684251359900000E+01
  -1.041767768200000E+01   3.610242908300000E+01  -3.502087049700000E+01   1.342549342900000E-02   2.683507746100000E+01
  -1.042285507200000E+01   3.609829906500000E+01  -3.502434134900000E+01   1.341334192800000E-02   2.682763971000000E+01
  -1.042803057900000E+01   3.609416991000000E+01  -3.502781312000000E+01   1.340121426700000E-02   2.682020034800000E+01
  -1.043320420500000E+01   3.609004162100000E+01  -3.503128436300000E+01   1.338906961300000E-02   2.681275937500000E+01
  -1.043837594800000E+01   3.608591420200000E+01  -3.503475165500000E+01   1.337693175100000E-02   2.680531679100000E+01
  -1.044354580800000E+01   3.608178765500000E+01  -3.503821763600000E+01   1.336481091300000E-02   2.679787260000000E+01
  -1.044871378600000E+01   3.607766198400000E+01  -3.504168149100000E+01   1.335269101800000E-02   2.679042680100000E+01
  -1.045387988100000E+01   3.607353719000000E+01  -3.504514482600000E+01   1.334059505400000E-02   2.678297939500000E+01
  -1.045904409200000E+01   3.606941327800000E+01  -3.504861176200000E+01   1.332850470300000E-02   2.677553038500000E+01
  -1.046420642000000E+01   3.606529025000000E+01  -3.505207094500000E+01   1.331642232600000E-02   2.676807977000000E+01
  -1.046936686400000E+01   3.606116811000000E+01  -3.505552925700000E+01   1.330434652600000E-02   2.676062755200000E+01
  -1.047452542400000E+01   3.605704686100000E+01  -3.505898856700000E+01   1.329227640200000E-02   2.675317373200000E+01
  -1.047968209900000E+01   3.605292650600000E+01  -3.506244455500000E+01   1.328021324400000E-02   2.674571831100000E+01
  -1.048483689000000E+01   3.604880704900000E+01  -3.506590002900000E+01   1.326816031000000E-02   2.673826129000000E+01
  -1.048998979600000E+01   3.604468849400000E+01  -3.506935814000000E+01   1.325613094200000E-02   2.673080267000000E+01
  -1.049514081700000E+01   3.604057084500000E+01  -3.507280926500000E+01   1.324410219300000E-02   2.672334245300000E+01
  -1.050028995300000E+01   3.603645410400000E+01  -3.507625990100000E+01   1.323207998600000E-02   2.671588063800000E+01
  -1.050543720300000E+01   3.603233827700000E+01  -3.507971345900000E+01   1.322006502400000E-02   2.670841722800000E+01
  -1.051058256800000E+01   3.602822336700000E+01  -3.508316161100000E+01   1.320806472300000E-02   2.670095222300000E+01
  -1.051572604700000E+01   3.602410937800000E+01  -3.508660785700000E+01   1.319607090500000E-02   2.669348562500000E+01
  -1.052086764000000E+01   3.601999631400000E+01  -3.509005597400000E+01   1.318408593300000E-02   2.668601743400000E+01
  -1.052600734600000E+01   3.601588418100000E+01  -3.509349955700000E+01   1.317210940100000E-02   2.667854765000000E+01
  -1.053114516600000E+01   3.601177298200000E+01  -3.509694265100000E+01   1.316013940300000E-02   2.667107627700000E+01
  -1.053628109900000E+01   3.600766272200000E+01  -3.510038511500000E+01   1.314818375600000E-02   2.666360331300000E+01
  -1.054141514500000E+01   3.600355340600000E+01  -3.510382681900000E+01   1.313623091400000E-02   2.665612876000000E+01
  -1.054654730500000E+01   3.599944503800000E+01  -3.510726799100000E+01   1.312428466300000E-02   2.664865262000000E+01
  -1.055167757600000E+01   3.599533762400000E+01  -3.511070537200000E+01   1.311235849900000E-02   2.664117489200000E+01
  -1.055680596100000E+01   3.599123116900000E+01  -3.511414207100000E+01   1.310043011100000E-02   2.663369557800000E+01
  -1.056193245800000E+01   3.598712567800000E+01  -3.511757826800000E+01   1.308852473900000E-02   2.662621467900000E+01
  -1.056705706700000E+01   3.598302115700000E+01  -3.512101363800000E+01   1.307662613900000E-02   2.661873219600000E+01
  -1.057217978700000E+01   3.597891761000000E+01  -3.512444860100000E+01   1.306473291400000E-02   2.661124812900000E+01
  -1.057730062000000E+01   3.597481504500000E+01  -3.512787943700000E+01   1.305284607800000E-02   2.660376248000000E+01
  -1.058241956500000E+01   3.597071346600000E+01  -3.513131119800000E+01   1.304096772900000E-02   2.659627524900000E+01
  -1.058753662100000E+01   3.596661287900000E+01  -3.513474111600000E+01   1.302910219800000E-02   2.658878643700000E+01
  -1.059265178900000E+01   3.596251329200000E+01  -3.513816739900000E+01   1.301724300100000E-02   2.658129604600000E+01
  -1.059776506800000E+01   3.595841471000000E+01  -3.514159384000000E+01   1.300539329000000E-02   2.657380407500000E+01
  -1.060287645800000E+01   3.595431713900000E+01  -3.514502086200000E+01   1.299355003500000E-02   2.656631052500000E+01
  -1.060798595900000E+01   3.595022058800000E+01  -3.514844471000000E+01   1.298171320500000E-02   2.655881539800000E+01
  -1.061309357100000E+01   3.594612506200000E+01  -3.515186607300000E+01   1.296989683000000E-02   2.655131869400000E+01
  -1.061819929400000E+01   3.594203056800000E+01  -3.515528729600000E+01   1.295808063700000E-02   2.654382041400000E+01
  -1.062330312700000E+01   3.593793711400000E+01  -3.515870803400000E+01   1.294627083000000E-02   2.653632055900000E+01
  -1.062840507200000E+01   3.593384470800000E+01  -3.516212772200000E+01   1.293447499700000E-02   2.652881912900000E+01
  -1.063350512700000E+01   3.592975335800000E+01  -3.516554458100000E+01   1.292269120300000E-02   2.652131612500000E+01
  -1.063860329200000E+01   3.592566307000000E+01  -3.516896097500000E+01   1.291091359800000E-02   2.651381154800000E+01
